#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T14:21+0000 #
#####################################################################
#
# seed = 9.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
13.1 0.732 1.05 0.881 0.00959 1.1785897016525269 3.089903950691223 1.9192808882466383 0.20487173688006055 0.697841726618705 0.8489208633093526 0.7632092931926237 0.001391026200811727
14.1 0.711 1.03 0.857 0.00887 1.1457909941673279 3.041609466075897 1.881049971495356 0.19929485709929823 0.6991869918699187 0.8561151079136691 0.7658622231134953 0.0013562350126146395
15.1 0.693 1.00 0.835 0.00795 1.1198652982711792 3.002262532711029 1.8462577760219574 0.1927623957244013 0.6991869918699187 0.8633093525179856 0.7687553789720837 0.0012781936799700067
16.1 0.676 0.982 0.816 0.00742 1.0955203175544739 2.9587863087654114 1.8163416486765658 0.18847877255911366 0.6910569105691057 0.8776978417266187 0.770620785601484 0.0014986057391185926
17.1 0.662 0.963 0.799 0.00683 1.0735308229923248 2.9187910556793213 1.7889787850103207 0.18362770270489728 0.6991869918699187 0.8848920863309353 0.7730669123237995 0.0015661792003736354
18.1 0.648 0.945 0.784 0.00629 1.0548976063728333 2.8824824690818787 1.7636785951576062 0.1796055232750943 0.7073170731707317 0.8848920863309353 0.7753344362837257 0.0015480041397814147
19.1 0.636 0.930 0.770 0.00596 1.036735326051712 2.849909007549286 1.7416338909949576 0.17580637693085366 0.7073170731707317 0.8848920863309353 0.7778421861813685 0.0015317770528817027
20.1 0.625 0.916 0.757 0.00551 1.0198054015636444 2.8151971101760864 1.7207994029990263 0.17218163571971115 0.7122302158273381 0.8920863309352518 0.780595384319722 0.0016337022254895688
21.1 0.615 0.902 0.745 0.00525 1.006050020456314 2.780224859714508 1.7017907489623343 0.16917424056982505 0.7154471544715447 0.8920863309352518 0.7842979971423558 0.0015518838349292165
22.1 0.605 0.890 0.734 0.00493 0.9928453266620636 2.7495213747024536 1.6835197354001659 0.166305963440904 0.7154471544715447 0.8920863309352518 0.7876935385489517 0.0015855037324319509
23.1 0.596 0.879 0.724 0.00469 0.978280246257782 2.723040819168091 1.6670191979834013 0.1638227102969591 0.7235772357723578 0.8920863309352518 0.7903966025785644 0.0014806730436792521
24.1 0.587 0.869 0.714 0.00448 0.9645876884460449 2.700608193874359 1.651492317872388 0.1614648755520574 0.7235772357723578 0.8920863309352518 0.7920499837064147 0.0014956202380192718
25.1 0.579 0.859 0.705 0.00430 0.9529638290405273 2.675744116306305 1.636353253786053 0.15902805044592755 0.7235772357723578 0.8920863309352518 0.7927591724529783 0.0014381843551986991
26.1 0.571 0.850 0.697 0.00418 0.9413608908653259 2.6494275331497192 1.6227172094264202 0.1578221424006867 0.7317073170731707 0.8848920863309353 0.7939488130749756 0.001317585292055128
27.1 0.563 0.842 0.689 0.00402 0.932964950799942 2.6269989609718323 1.6094133569193738 0.1552953743703311 0.7317073170731707 0.8776978417266187 0.795462236482591 0.0013153786565432287
28.1 0.556 0.834 0.682 0.00392 0.9225699007511139 2.6064706444740295 1.5959669489945685 0.15355000100953087 0.7317073170731707 0.8848920863309353 0.7978634513991594 0.0013653108174636367
29.1 0.549 0.826 0.674 0.00380 0.91143399477005 2.588712155818939 1.5838631982249873 0.15210656544286494 0.7317073170731707 0.8848920863309353 0.7984775942312352 0.0011867812090241617
30.1 0.542 0.819 0.668 0.00374 0.9037684202194214 2.5696479082107544 1.5728252130959715 0.15079939756342203 0.7398373983739838 0.8848920863309353 0.7997957035068809 0.0012150030323442417
31.1 0.536 0.812 0.661 0.00364 0.8968981802463531 2.5511415600776672 1.5615856000887496 0.1496387304557536 0.7398373983739838 0.8848920863309353 0.800214532206987 0.0012438673910615092
32.1 0.530 0.805 0.654 0.00357 0.8871049582958221 2.529611051082611 1.5515018962323666 0.14861838951787718 0.7398373983739838 0.8920863309352518 0.8022366079262025 0.0012567570946001411
33.1 0.524 0.799 0.648 0.00352 0.8763326406478882 2.511789321899414 1.5414895138570242 0.14801134113486422 0.7398373983739838 0.8848920863309353 0.8031024657625816 0.0013381686038707206
34.1 0.518 0.793 0.642 0.00348 0.8664252161979675 2.489296793937683 1.5313249547034502 0.14681893816148414 0.7398373983739838 0.8848920863309353 0.8052749438080198 0.0012276282260571306
35.1 0.512 0.787 0.637 0.00341 0.8599872589111328 2.4764034152030945 1.5219757711248738 0.14576249420661402 0.7398373983739838 0.8848920863309353 0.8067716558460548 0.0012711375699185744
36.1 0.506 0.781 0.631 0.00338 0.8520699143409729 2.4628349244594574 1.5134404876402445 0.14531090783547637 0.7398373983739838 0.8776978417266187 0.8070620158925125 0.0013286842982840358
37.1 0.500 0.776 0.626 0.00338 0.8432995676994324 2.444849878549576 1.5036644004285336 0.14394384190078854 0.7398373983739838 0.8776978417266187 0.8086203511058749 0.0013290735789074002
38.1 0.495 0.771 0.621 0.00334 0.8344964981079102 2.43044313788414 1.494842290878296 0.14347744918497404 0.7479674796747967 0.8776978417266187 0.8087655311291037 0.0012500335611697457
39.1 0.490 0.765 0.615 0.00330 0.8264573812484741 2.4199582636356354 1.4858672485819884 0.14294501052361633 0.7479674796747967 0.8776978417266187 0.8097483685525447 0.0012235881178181065
40.1 0.485 0.760 0.611 0.00329 0.8190626800060272 2.4081781804561615 1.4772521000621575 0.1416052674576966 0.7479674796747967 0.8776978417266187 0.8109212978049616 0.001200214047402263
41.1 0.480 0.755 0.606 0.00325 0.8096605539321899 2.3990728855133057 1.4690607627853751 0.14064412504037405 0.7479674796747967 0.8776978417266187 0.8122728298197679 0.0012220109943654137
42.1 0.476 0.750 0.601 0.00323 0.803878903388977 2.3863125145435333 1.4607870243489742 0.13980522510347207 0.7479674796747967 0.8776978417266187 0.8126582357807134 0.0012507005460096325
43.1 0.471 0.745 0.596 0.00323 0.795702189207077 2.3716666400432587 1.451905695721507 0.13894171963588856 0.7479674796747967 0.8705035971223022 0.8138478764027106 0.0012758394525515585
44.1 0.466 0.740 0.592 0.00320 0.7889736592769623 2.359215259552002 1.4439048336020537 0.13850739832573197 0.7479674796747967 0.8705035971223022 0.815568103008882 0.0012936322479065714
45.1 0.462 0.735 0.587 0.00321 0.7827675044536591 2.3475336134433746 1.4359939050461565 0.13817948558767287 0.7560975609756098 0.8780487804878049 0.8170146809381763 0.0013374620714019347
46.1 0.457 0.731 0.583 0.00320 0.7786005437374115 2.335294783115387 1.4282703709655575 0.13706167233914404 0.7560975609756098 0.8861788617886179 0.8197511677069494 0.0014585125550958104
47.1 0.453 0.726 0.578 0.00318 0.7735227644443512 2.326439291238785 1.420735092567546 0.13597997622887714 0.7560975609756098 0.8861788617886179 0.8195443645083933 0.001434685153669848
