#####################################################################
# Alchemist log file - simulation started at: 2024-04-23T16:38+0000 #
#####################################################################
#
# seed = 1.0, repetition = 1.0, areas = 2, dataShuffle = true, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount AreaDiscrepancy0 AreaDiscrepancy1 AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
10.1 4.0 0.14904683331648508 0.10694846014181773 1.0 0.31763419648632407 0.4419964782893658 0.8244722889155662 0.939 1.73 1.33 0.0641 1.0079329013824463 2.846749424934387 1.8874708910783133 0.35062091497599357 0.6632653061224489 0.9117647058823529 0.8051053754835268 0.0047723877526807115
11.1 4.0 0.18122124299407005 0.12954441457986832 1.0 0.2871217150906367 0.39049863722175354 0.8249799919967987 0.939 1.52 1.15 0.0498 1.0079329013824463 2.4400304555892944 1.560311714808146 0.27650738353081783 0.7346938775510204 0.9313725490196079 0.8266139789249033 0.004067198259370927
12.1 4.0 0.18608726561069489 0.15847081194321314 1.0 0.2515260503361268 0.3222049647010863 0.854341736694678 0.814 1.34 1.01 0.0455 0.7941339015960693 2.055310845375061 1.3130042254924774 0.22014594363915227 0.7755102040816326 0.9509803921568627 0.8550920368147259 0.003144916338975474
13.1 4.0 0.1218523879845937 0.1320540433128675 1.0 0.2518906395350184 0.3105445235967636 0.8666441576630651 0.771 1.38 1.02 0.0427 0.6962638795375824 2.047175109386444 1.2815818190574646 0.20509100442054065 0.7857142857142857 0.9411764705882353 0.8599273042550354 0.003127734111093842
14.1 4.0 0.15030064433813095 0.15890414143602052 1.0 0.21654236129751162 0.2546552438288927 0.8805222088835534 0.618 1.21 0.891 0.0367 0.49115052819252014 1.7166757583618164 1.0797543438772361 0.1692393725041887 0.7959183673469388 0.9509803921568627 0.8724823262638388 0.0031018142884738243
15.1 4.0 0.17710640281438828 0.16230428839723268 1.0 0.1992757778082575 0.23528967099264264 0.8767507002801119 0.579 1.07 0.798 0.0278 0.45565858483314514 1.4888371229171753 0.9520848790804546 0.13009743953065778 0.8061224489795918 0.9509803921568627 0.8750333466720022 0.002631431694023115
16.1 4.0 0.14053814361492792 0.13019753495852152 1.0 0.20968480859661387 0.24114316881944736 0.882452981192477 0.557 1.08 0.830 0.0249 0.40333567559719086 1.4905568957328796 0.9539194342990716 0.12380933961713313 0.8061224489795918 0.9509803921568627 0.8775510204081632 0.002547877894655259
17.1 3.0 0.1637305567661921 0.16446135689814886 1.0 0.26111718515555066 0.3174972481749676 0.8653183495620471 0.504 0.965 0.732 0.0242 0.3476695567369461 1.3149203062057495 0.84128171702226 0.11253796448743221 0.8163265306122449 0.9509803921568627 0.8800353474723223 0.0025225882730649323
18.1 2.0 0.19262003898620605 0.15487876534461975 1.0 0.33679574785665384 0.38802919816225767 0.8817026810724291 0.540 0.868 0.674 0.0162 0.3612782210111618 1.1984278559684753 0.7760583963245153 0.09583726366375771 0.8163265306122449 0.9607843137254902 0.881702681072429 0.0023974821475754612
19.1 2.0 0.0823689599831899 0.12479401628176372 1.0 0.3762275803656805 0.4092147139211496 0.8841203147925838 0.536 0.972 0.752 0.0259 0.3612782210111618 1.3164592385292053 0.8184294278422992 0.12114790497781507 0.8163265306122449 0.9607843137254902 0.8841203147925837 0.0026808703279291497
20.1 2.0 0.12063733239968617 0.14130597313245138 1.0 0.33296654160533634 0.3718911996111274 0.889155662264906 0.508 0.862 0.666 0.0191 0.3009222447872162 1.1946851015090942 0.7437823992222548 0.10776128628583187 0.8061224489795918 0.9607843137254902 0.8891556622649059 0.002545738001264748
21.1 2.0 0.14576096832752228 0.16531164447466531 1.0 0.30324475303114884 0.3516079783439636 0.8883386688008538 0.450 0.776 0.606 0.0188 0.26741601526737213 1.1221879124641418 0.7032159566879272 0.10098740971078185 0.8061224489795918 0.9607843137254902 0.8883386688008537 0.0025134464155871024
